Education Level,Occupation,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag,Age,City,ZipCode,State
Bachelors,Professional,M,S,No,2,0,0,129497,73,Yes,49,Newark,7101,New Jersey
Partial College,Skilled Manual,M,M,Yes,2,0,0,56248,65,No,47,Atlanta,30301,Georgia
Partial College,Skilled Manual,F,M,Yes,2,0,0,78170,51,No,47,Plano,75023,Texas
Partial College,Skilled Manual,F,M,Yes,2,0,0,70623,55,No,47,Albuquerque,87101,New Mexico
Partial College,Skilled Manual,M,M,Yes,2,0,0,78150,77,No,48,Wichita,67201,Kansas
Partial High School,Clerical,M,M,Yes,2,1,2,24007,76,No,75,El Paso,79901,Texas
High School,Skilled Manual,M,S,No,2,0,3,51472,63,No,74,Santa Ana,92701,California
High School,Skilled Manual,F,M,Yes,2,0,3,50798,48,No,74,Indianapolis,46201,Indiana
High School,Skilled Manual,F,M,No,2,0,3,42738,43,No,74,Honolulu,96801,Hawaii
Partial High School,Clerical,F,S,Yes,2,0,0,48422,41,Yes,44,Fort Wayne,46801,Indiana
High School,Skilled Manual,M,M,Yes,2,0,3,58585,73,No,73,Cleveland,44101,Ohio
High School,Skilled Manual,M,S,No,2,0,3,45982,64,No,73,Denver,80201,Colorado
Partial College,Clerical,F,S,No,2,0,2,50790,49,No,73,Arlington,76010,Texas
Partial College,Skilled Manual,F,M,No,2,0,0,91599,51,No,44,Miami,33101,Florida
Partial College,Skilled Manual,F,M,Yes,2,0,2,50018,43,No,72,Aurora,80010,Colorado
Partial College,Skilled Manual,M,M,Yes,2,0,2,53459,75,No,72,Riverside,92501,California
Partial College,Skilled Manual,F,M,Yes,2,0,3,38588,46,No,71,Jacksonville,32099,Florida
Graduate Degree,Management,M,M,Yes,2,0,2,119540,82,No,71,Los Angeles,90001,California
Partial College,Skilled Manual,M,M,Yes,2,0,2,119982,87,No,70,Baltimore,21201,Maryland
Partial College,Skilled Manual,F,S,Yes,2,0,2,86953,45,No,70,Jacksonville,32099,Florida
Partial College,Skilled Manual,M,M,Yes,2,0,2,116368,87,No,70,San Diego,92101,California
Partial College,Skilled Manual,M,M,Yes,2,0,2,110712,84,Yes,70,Tulsa,74101,Oklahoma
High School,Skilled Manual,M,M,Yes,2,0,0,52145,71,No,49,Tampa,33601,Florida
High School,Skilled Manual,F,S,Yes,2,0,0,49609,40,No,49,Colorado Springs,80901,Colorado
High School,Skilled Manual,M,M,Yes,2,0,0,58306,76,No,49,Fresno,93701,California
Partial College,Skilled Manual,F,M,No,2,0,0,73388,48,Yes,51,Omaha,68101,Nebraska
Partial College,Professional,F,M,Yes,2,0,0,61686,50,No,51,Charlotte,28201,North Carolina
Partial College,Professional,M,S,Yes,2,0,0,96049,70,Yes,48,Seattle,98101,Washington
High School,Skilled Manual,M,M,Yes,2,0,2,109883,87,No,69,Albuquerque,87101,New Mexico
High School,Skilled Manual,F,S,Yes,2,0,2,106718,51,No,69,Louisville,40201,Kentucky
High School,Skilled Manual,F,S,No,2,0,2,97646,52,No,69,Fort Wayne,46801,Indiana
High School,Skilled Manual,F,S,Yes,2,0,2,58916,51,No,68,Colorado Springs,80901,Colorado
High School,Skilled Manual,M,S,Yes,2,0,2,93934,74,No,68,Atlanta,30301,Georgia
High School,Professional,F,S,Yes,2,0,2,99137,51,No,67,Cincinnati,45201,Ohio
High School,Professional,M,S,Yes,2,0,2,112044,73,No,67,Fort Wayne,46801,Indiana
High School,Professional,F,S,No,2,0,2,108728,55,No,67,Jacksonville,32099,Florida
High School,Professional,F,S,No,2,0,0,49084,48,Yes,51,San Jose,95101,California
Graduate Degree,Management,M,S,Yes,2,0,0,172444,87,No,65,Houston,77001,Texas
Graduate Degree,Management,M,M,Yes,2,0,0,181590,92,Yes,65,Washington,20001,DC
Bachelors,Management,F,M,Yes,3,2,2,148109,76,No,58,Miami,33101,Florida
Graduate Degree,Management,F,S,No,3,1,1,149717,62,Yes,58,Fort Worth,76101,Texas
Graduate Degree,Management,F,M,Yes,3,1,1,163913,68,Yes,58,El Paso,79901,Texas
High School,Professional,F,S,No,2,0,2,66900,47,No,67,Kansas City,64101,Missouri
Partial College,Professional,M,M,Yes,0,1,2,97834,98,No,67,Nashville,37201,Tennessee
Bachelors,Management,M,M,Yes,0,1,2,129910,104,No,67,Baltimore,21201,Maryland
Bachelors,Management,F,S,Yes,1,1,2,91729,57,Yes,67,Fort Worth,76101,Texas
Partial College,Professional,M,S,Yes,1,0,2,113883,76,No,67,Mesa,85201,Arizona
Partial College,Professional,M,M,Yes,1,0,2,112820,82,No,67,Oklahoma City,73101,Oklahoma
Graduate Degree,Management,F,M,Yes,0,0,0,106839,58,No,57,Lincoln,68501,Nebraska
Partial College,Skilled Manual,M,S,No,1,0,1,88887,78,Yes,62,Raleigh,27601,North Carolina
Partial College,Skilled Manual,M,S,Yes,1,0,1,108740,77,No,62,Oakland,94601,California
Bachelors,Professional,M,M,Yes,1,0,1,106971,87,Yes,62,Anchorage,99501,Alaska
Partial College,Skilled Manual,M,M,Yes,1,0,1,98519,80,No,63,Newark,7101,New Jersey
Partial College,Skilled Manual,F,S,No,1,0,1,82707,54,No,63,Lexington,40502,Kentucky
Bachelors,Professional,M,M,Yes,1,0,1,103866,83,Yes,63,Denver,80201,Colorado
Partial College,Skilled Manual,F,S,Yes,1,0,1,66520,46,No,64,Chula Vista,91910,California
Bachelors,Professional,F,S,No,1,0,0,75270,47,Yes,59,Virginia Beach,23450,Virginia
Bachelors,Professional,F,S,Yes,4,5,5,95167,89,Yes,59,Irvine,92602,California
Bachelors,Professional,F,S,Yes,1,0,0,85087,49,No,60,San Diego,92101,California
Bachelors,Professional,M,M,No,1,0,0,102445,85,No,60,Newark,7101,New Jersey
Bachelors,Professional,F,S,No,1,0,0,88445,52,No,60,Cleveland,44101,Ohio
Bachelors,Professional,M,S,No,1,0,0,97782,74,Yes,60,Oklahoma City,73101,Oklahoma
Bachelors,Professional,F,M,Yes,1,0,1,117317,54,Yes,65,Greensboro,27401,North Carolina
Bachelors,Professional,M,S,No,2,0,0,106891,79,Yes,61,Atlanta,30301,Georgia
Partial College,Skilled Manual,M,M,Yes,1,0,1,77012,74,Yes,62,Louisville,40201,Kentucky
Partial College,Skilled Manual,F,M,Yes,1,0,1,62702,56,Yes,62,Phoenix,85001,Arizona
Partial College,Skilled Manual,F,M,Yes,1,0,1,73151,51,No,62,Las Vegas,89101,Nevada
Bachelors,Professional,M,M,Yes,2,4,5,104220,142,Yes,62,Corpus Christi,78401,Texas
Partial High School,Manual,M,S,No,2,0,0,18709,61,No,51,Albuquerque,87101,New Mexico
Partial College,Skilled Manual,M,M,Yes,2,4,5,93330,141,Yes,62,Long Beach,90801,California
Partial College,Skilled Manual,M,M,Yes,2,4,5,86770,140,Yes,62,Houston,77001,Texas
Partial College,Skilled Manual,F,M,Yes,3,4,5,73276,84,Yes,63,Tucson,85701,Arizona
Partial College,Clerical,M,S,No,2,0,2,51078,58,No,89,Indianapolis,46201,Indiana
Bachelors,Management,F,S,Yes,1,0,2,52280,37,No,88,Albuquerque,87101,New Mexico
Partial College,Skilled Manual,M,M,Yes,3,4,5,88615,143,No,64,Cleveland,44101,Ohio
Partial College,Skilled Manual,M,M,Yes,3,4,5,102114,140,Yes,64,Bakersfield,93301,California
Partial College,Skilled Manual,M,S,Yes,1,0,1,106875,80,Yes,67,Pittsburgh,15201,Pennsylvania
Partial College,Skilled Manual,F,S,Yes,1,0,1,65730,46,No,68,Plano,75023,Texas
High School,Skilled Manual,M,M,No,2,1,2,32857,75,No,75,Chicago,60601,Illinois
High School,Skilled Manual,F,M,Yes,1,0,0,46078,46,No,49,Detroit,48201,Michigan
High School,Skilled Manual,F,S,Yes,1,0,0,32122,37,No,49,Seattle,98101,Washington
High School,Skilled Manual,F,M,Yes,2,0,0,34879,48,No,45,Toledo,43601,Ohio
High School,Skilled Manual,F,M,No,2,0,0,39266,44,No,44,Oakland,94601,California
High School,Skilled Manual,F,S,No,2,0,0,44139,40,No,44,Wichita,67201,Kansas
Partial High School,Clerical,F,S,No,2,0,0,37010,34,No,44,Atlanta,30301,Georgia
High School,Skilled Manual,M,S,Yes,2,0,5,26209,64,Yes,78,New Orleans,70112,Louisiana
Partial High School,Clerical,M,S,No,2,0,0,64613,63,No,45,Boston,2101,Massachusetts
High School,Skilled Manual,F,S,No,2,0,0,38527,46,No,46,El Paso,79901,Texas
High School,Skilled Manual,F,M,Yes,2,0,0,42811,47,No,46,Colorado Springs,80901,Colorado
High School,Skilled Manual,F,M,No,2,0,0,48772,45,No,46,Fort Wayne,46801,Indiana
Partial College,Clerical,F,S,No,2,0,2,27610,39,No,86,Durham,27701,North Carolina
Partial High School,Clerical,M,S,No,2,0,0,64633,69,No,47,Newark,7101,New Jersey
High School,Skilled Manual,F,M,No,2,0,0,32916,43,No,47,Miami,33101,Florida
High School,Skilled Manual,M,S,No,2,0,0,63488,73,Yes,47,Minneapolis,55401,Minnesota
High School,Skilled Manual,M,M,Yes,2,0,0,43666,70,No,47,San Diego,92101,California
High School,Skilled Manual,M,S,No,2,0,0,54938,64,No,45,New York,10001,New York
High School,Skilled Manual,F,S,No,2,0,0,29691,37,No,45,Baltimore,21201,Maryland
Bachelors,Management,F,S,Yes,2,0,2,66934,47,No,85,San Antonio,78201,Texas
Graduate Degree,Management,M,M,Yes,1,0,2,124211,78,No,85,Tucson,85701,Arizona
Bachelors,Management,M,M,Yes,2,0,2,63251,67,No,83,Houston,77001,Texas
Bachelors,Management,M,M,Yes,2,0,2,82448,71,No,83,Irvine,92602,California
Bachelors,Management,M,S,Yes,2,0,2,77855,69,No,83,Dallas,75201,Texas
Graduate Degree,Management,F,S,No,1,0,2,94385,46,No,82,Tucson,85701,Arizona
High School,Skilled Manual,M,S,Yes,2,0,0,62553,72,Yes,49,Atlanta,30301,Georgia
High School,Skilled Manual,F,M,Yes,2,0,0,37229,42,No,48,Stockton,95201,California
Partial College,Skilled Manual,F,S,Yes,1,0,0,33375,38,No,48,Long Beach,90801,California
Partial College,Skilled Manual,M,S,No,1,0,0,60713,68,Yes,49,Louisville,40201,Kentucky
High School,Skilled Manual,F,M,Yes,2,0,0,45639,50,No,49,Orlando,32801,Florida
High School,Skilled Manual,M,S,Yes,2,0,0,57274,65,No,49,Columbus,43085,Ohio
High School,Skilled Manual,F,S,No,2,0,0,32033,40,No,49,Durham,27701,North Carolina
Partial College,Skilled Manual,M,S,No,1,0,0,54434,69,No,51,Long Beach,90801,California
Partial College,Skilled Manual,F,S,No,1,0,0,46024,44,Yes,50,Newark,7101,New Jersey
Partial College,Skilled Manual,M,M,Yes,1,0,0,56829,66,No,50,Milwaukee,53201,Wisconsin
Partial College,Skilled Manual,M,S,No,1,0,0,48946,64,Yes,50,Seattle,98101,Washington
Partial College,Skilled Manual,F,M,No,1,0,0,89154,52,No,51,Atlanta,30301,Georgia
Partial College,Skilled Manual,F,S,No,2,0,0,70041,46,Yes,52,Columbus,43085,Ohio
Bachelors,Management,M,M,Yes,1,4,4,116323,141,Yes,56,Cleveland,44101,Ohio
Bachelors,Management,F,M,Yes,1,4,4,104668,91,Yes,56,Nashville,37201,Tennessee
Bachelors,Management,M,S,Yes,2,0,1,128776,80,Yes,57,Oklahoma City,73101,Oklahoma
Bachelors,Management,F,M,Yes,2,0,1,97616,55,No,57,Stockton,95201,California
Graduate Degree,Management,F,S,No,4,0,0,151318,51,No,57,Jacksonville,32099,Florida
Graduate Degree,Management,M,M,Yes,0,1,1,183231,109,Yes,57,San Diego,92101,California
Partial College,Skilled Manual,M,S,Yes,2,0,0,98032,70,Yes,61,Plano,75023,Texas
Bachelors,Management,M,M,Yes,1,4,4,140875,148,Yes,57,Aurora,80010,Colorado
Graduate Degree,Management,M,M,Yes,2,4,4,185657,144,Yes,82,Fort Worth,76101,Texas
Graduate Degree,Management,F,M,Yes,3,4,4,141844,91,No,81,Detroit,48201,Michigan
Bachelors,Management,F,M,Yes,4,3,3,145176,73,Yes,82,San Diego,92101,California
Graduate Degree,Management,M,M,Yes,2,3,3,184504,126,No,81,Fort Worth,76101,Texas
Bachelors,Management,F,S,Yes,2,0,4,80891,39,No,80,Miami,33101,Florida
Bachelors,Management,F,S,Yes,2,0,4,90366,51,Yes,80,Lincoln,68501,Nebraska
Bachelors,Management,F,S,Yes,2,0,4,91037,42,No,80,Cleveland,44101,Ohio
Bachelors,Management,F,S,Yes,2,0,4,83404,48,No,80,Colorado Springs,80901,Colorado
Bachelors,Management,F,S,Yes,2,0,4,79819,46,No,80,Irvine,92602,California
Graduate Degree,Management,F,M,Yes,2,0,4,85829,49,No,80,Minneapolis,55401,Minnesota
Graduate Degree,Management,F,M,No,2,0,4,104279,52,No,80,Seattle,98101,Washington
Graduate Degree,Management,M,S,Yes,2,0,4,121950,75,No,80,Pittsburgh,15201,Pennsylvania
Bachelors,Management,M,M,Yes,2,0,5,95877,77,No,80,Nashville,37201,Tennessee
Bachelors,Management,F,S,Yes,3,0,5,80055,47,No,79,Kansas City,64101,Missouri
Bachelors,Management,M,M,Yes,2,0,4,112289,79,No,79,Riverside,92501,California
Bachelors,Management,M,M,Yes,2,0,4,111071,73,No,79,Corpus Christi,78401,Texas
Bachelors,Management,F,M,Yes,2,0,4,89692,51,No,79,Corpus Christi,78401,Texas
Bachelors,Management,F,M,Yes,3,0,5,86347,52,No,78,Cincinnati,45201,Ohio
Bachelors,Management,M,M,Yes,3,0,5,96935,75,No,78,Lincoln,68501,Nebraska
Bachelors,Management,F,M,No,1,1,3,86749,57,Yes,78,Fort Worth,76101,Texas
Bachelors,Management,F,S,Yes,1,1,4,84010,54,No,78,Cincinnati,45201,Ohio
Bachelors,Management,F,M,Yes,1,1,4,81296,59,No,78,Chicago,60601,Illinois
Bachelors,Management,M,M,Yes,1,1,4,101131,96,Yes,77,Chula Vista,91910,California
Bachelors,Management,F,M,Yes,1,1,4,83256,57,No,77,Charlotte,28201,North Carolina
Bachelors,Management,F,M,No,2,0,5,96418,55,No,77,Lexington,40502,Kentucky
High School,Professional,M,M,Yes,2,1,2,55404,83,No,76,Jersey City,7302,New Jersey
High School,Professional,F,M,Yes,2,1,2,50201,53,No,76,Lincoln,68501,Nebraska
High School,Professional,F,M,Yes,2,1,2,52116,53,No,76,Columbus,43085,Ohio
Partial College,Professional,M,M,Yes,1,1,2,96883,94,No,76,Tulsa,74101,Oklahoma
Bachelors,Management,F,M,Yes,0,1,2,81421,54,Yes,76,Milwaukee,53201,Wisconsin
Bachelors,Management,F,M,Yes,0,1,2,73189,57,Yes,77,Los Angeles,90001,California
Partial College,Professional,M,M,Yes,2,1,4,87565,100,No,76,San Antonio,78201,Texas
High School,Professional,F,M,Yes,2,1,2,50320,53,Yes,75,Houston,77001,Texas
High School,Professional,F,M,Yes,2,1,2,48200,53,No,75,Fresno,93701,California
Partial College,Professional,F,S,Yes,2,1,2,69431,51,No,75,Houston,77001,Texas
Partial College,Professional,M,S,Yes,2,1,2,91233,84,No,75,Toledo,43601,Ohio
Partial College,Professional,F,S,Yes,2,1,2,79388,53,No,74,Anchorage,99501,Alaska
Partial College,Professional,F,S,Yes,2,1,2,81490,55,Yes,74,New Orleans,70112,Louisiana
Partial College,Professional,F,S,No,2,1,2,76220,54,No,74,Austin,73301,Texas
High School,Professional,M,M,Yes,2,1,2,88557,92,No,74,Riverside,92501,California
Partial College,Professional,F,M,Yes,1,1,2,98934,57,No,74,Riverside,92501,California
Partial College,Professional,M,M,Yes,1,2,4,107014,110,No,74,Louisville,40201,Kentucky
Bachelors,Management,F,M,Yes,1,1,3,97838,65,No,74,Riverside,92501,California
High School,Professional,F,S,Yes,2,1,2,93756,60,Yes,73,Chicago,60601,Illinois
High School,Professional,F,S,Yes,2,1,2,58807,52,No,73,Portland,97201,Oregon
Partial College,Professional,F,M,Yes,1,1,2,75300,53,No,73,Dallas,75201,Texas
Partial College,Professional,F,M,Yes,1,1,2,69781,59,No,73,New Orleans,70112,Louisiana
Partial College,Professional,M,S,Yes,2,1,2,107126,92,Yes,73,Plano,75023,Texas
Partial College,Professional,F,M,Yes,2,1,2,83120,63,Yes,73,Baltimore,21201,Maryland
Partial College,Professional,M,S,Yes,1,2,4,79403,96,No,73,Chicago,60601,Illinois
Partial College,Professional,F,M,No,2,2,4,82373,68,No,73,St. Louis,63101,Missouri
High School,Professional,M,M,Yes,2,1,2,82678,89,No,72,Tucson,85701,Arizona
High School,Professional,F,M,No,2,1,3,89815,58,Yes,72,Charlotte,28201,North Carolina
Partial College,Professional,M,M,Yes,2,2,4,95975,108,No,72,Plano,75023,Texas
Partial College,Professional,F,S,Yes,2,2,4,81567,58,Yes,72,Riverside,92501,California
Partial College,Professional,M,M,Yes,2,2,4,97258,109,No,72,Oakland,94601,California
Partial College,Professional,M,S,Yes,2,2,5,104005,107,Yes,72,Portland,97201,Oregon
Bachelors,Management,M,S,No,4,3,3,164291,126,Yes,66,Albuquerque,87101,New Mexico
Bachelors,Management,F,S,No,4,3,3,138418,80,Yes,66,Sacramento,94203,California
Partial College,Professional,F,M,No,2,4,4,123475,98,No,66,Houston,77001,Texas
Partial College,Professional,F,M,Yes,4,3,3,136555,88,Yes,66,Fresno,93701,California
Partial College,Professional,F,S,Yes,4,3,3,114730,80,Yes,67,Anchorage,99501,Alaska
Partial College,Professional,M,M,Yes,3,4,4,160265,153,Yes,67,Greensboro,27401,North Carolina
Partial College,Professional,F,M,Yes,3,3,3,131035,89,No,67,Bakersfield,93301,California
Bachelors,Management,F,S,No,3,3,3,139552,81,Yes,67,Riverside,92501,California
High School,Professional,M,M,No,4,4,4,154573,147,Yes,68,Fort Worth,76101,Texas
High School,Professional,F,M,No,4,4,4,136970,99,No,68,Houston,77001,Texas
Partial College,Professional,M,M,Yes,4,4,4,165394,157,Yes,69,El Paso,79901,Texas
Partial College,Professional,F,M,Yes,3,4,4,128534,94,Yes,69,San Diego,92101,California
High School,Professional,F,M,Yes,2,4,4,140179,98,No,69,Wichita,67201,Kansas
High School,Professional,M,S,No,2,0,4,50003,55,No,92,Tampa,33601,Florida
Graduate Degree,Management,M,S,Yes,1,0,3,139004,71,No,92,Newark,7101,New Jersey
Graduate Degree,Management,M,M,Yes,2,0,2,127974,72,No,91,Chula Vista,91910,California
Graduate Degree,Management,M,M,Yes,2,0,4,101550,71,No,91,Sacramento,94203,California
Graduate Degree,Management,F,M,Yes,2,0,4,88902,44,No,91,Oakland,94601,California
Graduate Degree,Management,F,S,Yes,4,2,2,146565,59,No,92,Albuquerque,87101,New Mexico
Partial College,Professional,F,M,Yes,4,1,4,96421,65,No,59,Mesa,85201,Arizona
Bachelors,Management,F,M,Yes,3,2,2,127739,80,Yes,59,Long Beach,90801,California
Graduate Degree,Management,F,M,Yes,1,2,2,154474,79,No,59,Milwaukee,53201,Wisconsin
Bachelors,Management,F,M,Yes,0,3,4,97283,89,No,60,Denver,80201,Colorado
Partial College,Professional,F,M,Yes,3,5,5,104042,99,No,60,San Diego,92101,California
Partial College,Professional,M,S,No,3,5,5,122978,154,Yes,60,Saint Paul,55101,Minnesota
Partial College,Professional,F,M,Yes,3,5,5,91607,98,Yes,60,Plano,75023,Texas
Partial College,Professional,F,S,No,1,0,0,98748,51,No,60,Anchorage,99501,Alaska
Partial College,Professional,M,S,Yes,4,2,4,169568,115,Yes,60,Jersey City,7302,New Jersey
Graduate Degree,Management,F,M,Yes,2,2,2,145275,80,No,60,Cincinnati,45201,Ohio
Graduate Degree,Management,M,M,Yes,2,2,2,173834,119,Yes,60,Wichita,67201,Kansas
Graduate Degree,Management,M,M,Yes,3,2,2,180861,119,Yes,60,Arlington,76010,Texas
Bachelors,Management,F,S,No,4,0,2,141306,53,Yes,60,Irvine,92602,California
Partial College,Professional,F,S,Yes,0,3,4,72083,73,Yes,68,Newark,7101,New Jersey
Partial College,Professional,M,M,Yes,0,1,2,116585,105,No,68,Lexington,40502,Kentucky
Graduate Degree,Management,M,M,Yes,2,0,2,75549,61,No,90,Sacramento,94203,California
Graduate Degree,Management,F,M,Yes,2,0,4,112925,48,No,91,Durham,27701,North Carolina
Partial College,Professional,F,M,Yes,2,3,4,102901,86,Yes,61,Philadelphia,19101,Pennsylvania
Partial College,Professional,M,M,Yes,2,3,4,125463,134,Yes,61,Orlando,32801,Florida
Partial College,Professional,F,M,Yes,1,0,0,85754,55,No,61,Newark,7101,New Jersey
Partial College,Professional,F,M,Yes,1,0,0,86138,52,No,61,Newark,7101,New Jersey
Partial College,Professional,M,M,Yes,1,0,0,125485,92,Yes,61,Las Vegas,89101,Nevada
Bachelors,Management,F,S,Yes,4,2,4,127801,74,Yes,61,Minneapolis,55401,Minnesota
Partial College,Professional,M,M,Yes,4,4,5,105527,146,Yes,63,San Jose,95101,California
Bachelors,Management,M,M,Yes,2,3,3,155993,136,Yes,62,El Paso,79901,Texas
Partial College,Professional,M,M,No,4,3,3,164943,141,Yes,62,Boston,2101,Massachusetts
Graduate Degree,Management,M,M,Yes,4,0,0,169863,93,No,62,Oakland,94601,California
Partial College,Professional,M,M,No,3,4,5,97392,140,Yes,64,Aurora,80010,Colorado
Bachelors,Management,F,M,Yes,1,3,3,123794,85,Yes,63,Memphis,37501,Tennessee
Bachelors,Management,F,M,Yes,3,3,3,145642,88,Yes,63,San Francisco,94101,California
Bachelors,Management,F,M,Yes,3,3,3,130738,89,No,63,Omaha,68101,Nebraska
Partial College,Professional,M,S,No,3,2,2,150167,112,Yes,63,Lexington,40502,Kentucky
High School,Professional,M,S,No,2,0,2,96447,71,Yes,69,Chicago,60601,Illinois
High School,Professional,M,M,No,2,0,2,92889,84,No,69,Milwaukee,53201,Wisconsin
Partial High School,Skilled Manual,F,S,Yes,2,0,2,89097,47,Yes,70,Chicago,60601,Illinois
Graduate Degree,Management,F,S,Yes,2,0,2,82760,47,No,89,Fort Worth,76101,Texas
Graduate Degree,Management,M,S,Yes,2,0,4,109129,68,No,89,Irvine,92602,California
Graduate Degree,Management,M,M,Yes,2,0,4,112116,73,No,89,Washington,20001,DC
Graduate Degree,Management,M,M,Yes,2,0,4,117520,72,No,88,St. Louis,63101,Missouri
Partial College,Professional,M,M,No,3,4,5,122139,152,Yes,64,Omaha,68101,Nebraska
Partial College,Professional,M,M,Yes,4,4,5,127971,145,Yes,64,Saint Paul,55101,Minnesota
High School,Professional,M,S,No,3,3,4,121401,120,Yes,64,Santa Ana,92701,California
High School,Professional,F,S,No,3,3,4,106090,75,Yes,64,Oklahoma City,73101,Oklahoma
Partial College,Professional,F,M,Yes,0,3,3,95526,83,No,64,Seattle,98101,Washington
Partial College,Professional,M,M,No,4,3,3,156297,137,No,64,Seattle,98101,Washington
Partial College,Professional,M,M,No,4,3,3,171700,142,Yes,64,Albuquerque,87101,New Mexico
Partial High School,Skilled Manual,M,M,Yes,2,0,2,114324,88,No,70,Fort Worth,76101,Texas
High School,Professional,M,M,No,2,0,2,82817,75,No,70,Louisville,40201,Kentucky
High School,Professional,F,S,Yes,2,0,2,72518,46,No,70,Boston,2101,Massachusetts
Graduate Degree,Management,F,S,Yes,2,0,3,103232,51,Yes,71,Raleigh,27601,North Carolina
Graduate Degree,Management,F,S,No,2,0,3,88666,46,No,71,San Francisco,94101,California
Graduate Degree,Management,F,S,Yes,2,0,3,91177,51,No,71,San Diego,92101,California
Graduate Degree,Management,M,S,Yes,2,0,3,101674,79,No,71,Seattle,98101,Washington
Graduate Degree,Management,F,S,No,2,0,3,92491,51,Yes,71,Cincinnati,45201,Ohio
Graduate Degree,Management,F,S,No,2,0,3,100009,53,Yes,71,Wichita,67201,Kansas
Graduate Degree,Management,M,M,Yes,2,0,3,122242,83,No,71,Phoenix,85001,Arizona
Partial College,Professional,F,S,No,2,0,3,45387,42,No,72,St. Louis,63101,Missouri
Partial College,Professional,F,S,No,2,0,3,63473,47,No,72,Omaha,68101,Nebraska
Graduate Degree,Management,F,M,No,2,0,4,99881,47,No,87,Los Angeles,90001,California
Graduate Degree,Management,F,M,Yes,2,0,4,140771,50,No,87,Plano,75023,Texas
Bachelors,Management,M,M,Yes,2,0,5,126955,76,No,86,Tucson,85701,Arizona
Bachelors,Management,F,M,Yes,2,0,5,110304,52,No,86,Austin,73301,Texas
Bachelors,Management,M,M,Yes,2,0,5,131143,78,No,85,Oklahoma City,73101,Oklahoma
Bachelors,Management,M,S,Yes,2,0,5,128035,72,No,85,Oakland,94601,California
Bachelors,Management,M,M,Yes,4,3,3,167552,117,Yes,85,Corpus Christi,78401,Texas
